2004-05-03,1000000.0000000001,[CMG.TO, PSI.TO, ACD.TO, GDL.TO, BR.TO, CGY.TO, WJX.TO, ENGH.TO, PEY.TO, CTC.TO, MRD.TO, MEQ.TO, VET.TO, MFC.TO, CCA.TO, SU.TO, POW.TO, RET.TO, CGO.TO, CIGI.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, ENB.TO, AQN.TO, T.TO, SCI, L, NVO, PNR, WAT, OXY, MON, KYO, BAM, RENX, BP, COP, DVA, INGR, SYK, PHI, KMB, CW, BAP, ITT, ADM, IEX, AON, AVY, SJM, VZ, SRE, SON, UN, NSC, UL, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
,,[0.011626813669241828, 0.006131134885267675, 0.01627677051461027, 0.020600799415406285, 0.017542040393302087, 0.009318599677937925, 0.011298508030506341, 0.014666263867491171, 0.00833877745431166, 0.020275955470739845, 0.012976063884822997, 0.02316026861464, 0.01758913079569451, 0.013067954916632103, 0.006014822809247571, 0.009119177415304705, 0.013776162369598943, 0.02023286475131492, 0.006181210202679954, 0.018460191488858337, 0.013361198510945398, 0.0452587005450433, 0.01794682733583311, 0.09418030340577462, 0.020528525752179918, 0.013355640493643692, 0.014965316911300085, 0.006870252368171994, 0.01071544390693831, 0.006528336623899985, 0.004812207837848853, 0.009091057820448865, 0.00888418379877971, 0.007704702561845622, 0.006686199190405893, 0.006824458300108964, 0.013351848115750428, 0.010551327233159965, 0.010125921766828737, 0.007622348810368762, 0.007589845810865829, 0.01660447793944747, 0.006222792486869626, 0.01020896318212913, 0.021078597488430727, 0.008810932939965632, 0.012594624052647871, 0.008228349311427331, 0.008116920794569946, 0.008029391110574238, 0.009708059365914457, 0.00983165348860426, 0.0070840822023697375, 0.009211358513398311, 0.00900898775707512, 0.006242904231900152, 0.009663266961365661, 0.00596547521210829, 0.011154521276049443, 0.00862622170095271, 0.021562311878364025, 0.025293886560763937, 0.021408400598219076, 0.010878270742275464, 0.03904514855537512, 0.08181224392145094]
2004-06-14,1024576.9958456913,[CMG.TO, PSI.TO, ACD.TO, GDL.TO, BR.TO, CGY.TO, WJX.TO, ENGH.TO, PEY.TO, CTC.TO, MRD.TO, MEQ.TO, VET.TO, MFC.TO, CCA.TO, SU.TO, POW.TO, RET.TO, CGO.TO, CIGI.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, ENB.TO, AQN.TO, T.TO, SCI, L, NVO, PNR, WAT, OXY, MON, KYO, BAM, RENX, BP, COP, DVA, INGR, SYK, PHI, KMB, CW, BAP, ITT, ADM, IEX, AON, AVY, SJM, VZ, SRE, SON, UN, NSC, UL, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
,,[0.011626813669241828, 0.006131134885267675, 0.01627677051461027, 0.020600799415406285, 0.017542040393302087, 0.009318599677937925, 0.011298508030506341, 0.014666263867491171, 0.00833877745431166, 0.020275955470739845, 0.012976063884822997, 0.02316026861464, 0.01758913079569451, 0.013067954916632103, 0.006014822809247571, 0.009119177415304705, 0.013776162369598943, 0.02023286475131492, 0.006181210202679954, 0.018460191488858337, 0.013361198510945398, 0.0452587005450433, 0.01794682733583311, 0.09418030340577462, 0.020528525752179918, 0.013355640493643692, 0.014965316911300085, 0.006870252368171994, 0.01071544390693831, 0.006528336623899985, 0.004812207837848853, 0.009091057820448865, 0.00888418379877971, 0.007704702561845622, 0.006686199190405893, 0.006824458300108964, 0.013351848115750428, 0.010551327233159965, 0.010125921766828737, 0.007622348810368762, 0.007589845810865829, 0.01660447793944747, 0.006222792486869626, 0.01020896318212913, 0.021078597488430727, 0.008810932939965632, 0.012594624052647871, 0.008228349311427331, 0.008116920794569946, 0.008029391110574238, 0.009708059365914457, 0.00983165348860426, 0.0070840822023697375, 0.009211358513398311, 0.00900898775707512, 0.006242904231900152, 0.009663266961365661, 0.00596547521210829, 0.011154521276049443, 0.00862622170095271, 0.021562311878364025, 0.025293886560763937, 0.021408400598219076, 0.010878270742275464, 0.03904514855537512, 0.08181224392145094]
2004-06-21,1021833.623273982,[CMG.TO, PSI.TO, ACD.TO, GDL.TO, BR.TO, CGY.TO, WJX.TO, ENGH.TO, PEY.TO, CTC.TO, MRD.TO, MEQ.TO, VET.TO, MFC.TO, CCA.TO, SU.TO, POW.TO, RET.TO, CGO.TO, CIGI.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, ENB.TO, AQN.TO, T.TO, SCI, L, NVO, PNR, WAT, OXY, MON, KYO, BAM, RENX, BP, COP, DVA, INGR, SYK, PHI, KMB, CW, BAP, ITT, ADM, IEX, AON, AVY, SJM, VZ, SRE, SON, UN, NSC, UL, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
,,[0.011626813669241828, 0.006131134885267675, 0.01627677051461027, 0.020600799415406285, 0.017542040393302087, 0.009318599677937925, 0.011298508030506341, 0.014666263867491171, 0.00833877745431166, 0.020275955470739845, 0.012976063884822997, 0.02316026861464, 0.01758913079569451, 0.013067954916632103, 0.006014822809247571, 0.009119177415304705, 0.013776162369598943, 0.02023286475131492, 0.006181210202679954, 0.018460191488858337, 0.013361198510945398, 0.0452587005450433, 0.01794682733583311, 0.09418030340577462, 0.020528525752179918, 0.013355640493643692, 0.014965316911300085, 0.006870252368171994, 0.01071544390693831, 0.006528336623899985, 0.004812207837848853, 0.009091057820448865, 0.00888418379877971, 0.007704702561845622, 0.006686199190405893, 0.006824458300108964, 0.013351848115750428, 0.010551327233159965, 0.010125921766828737, 0.007622348810368762, 0.007589845810865829, 0.01660447793944747, 0.006222792486869626, 0.01020896318212913, 0.021078597488430727, 0.008810932939965632, 0.012594624052647871, 0.008228349311427331, 0.008116920794569946, 0.008029391110574238, 0.009708059365914457, 0.00983165348860426, 0.0070840822023697375, 0.009211358513398311, 0.00900898775707512, 0.006242904231900152, 0.009663266961365661, 0.00596547521210829, 0.011154521276049443, 0.00862622170095271, 0.021562311878364025, 0.025293886560763937, 0.021408400598219076, 0.010878270742275464, 0.03904514855537512, 0.08181224392145094]
2004-06-28,1021585.545965907,[CMG.TO, PSI.TO, ACD.TO, GDL.TO, BR.TO, CGY.TO, WJX.TO, ENGH.TO, PEY.TO, CTC.TO, MRD.TO, MEQ.TO, VET.TO, MFC.TO, CCA.TO, SU.TO, POW.TO, RET.TO, CGO.TO, CIGI.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, ENB.TO, AQN.TO, T.TO, SCI, L, NVO, PNR, WAT, OXY, MON, KYO, BAM, RENX, BP, COP, DVA, INGR, SYK, PHI, KMB, CW, BAP, ITT, ADM, IEX, AON, AVY, SJM, VZ, SRE, SON, UN, NSC, UL, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
,,[0.011626813669241828, 0.006131134885267675, 0.01627677051461027, 0.020600799415406285, 0.017542040393302087, 0.009318599677937925, 0.011298508030506341, 0.014666263867491171, 0.00833877745431166, 0.020275955470739845, 0.012976063884822997, 0.02316026861464, 0.01758913079569451, 0.013067954916632103, 0.006014822809247571, 0.009119177415304705, 0.013776162369598943, 0.02023286475131492, 0.006181210202679954, 0.018460191488858337, 0.013361198510945398, 0.0452587005450433, 0.01794682733583311, 0.09418030340577462, 0.020528525752179918, 0.013355640493643692, 0.014965316911300085, 0.006870252368171994, 0.01071544390693831, 0.006528336623899985, 0.004812207837848853, 0.009091057820448865, 0.00888418379877971, 0.007704702561845622, 0.006686199190405893, 0.006824458300108964, 0.013351848115750428, 0.010551327233159965, 0.010125921766828737, 0.007622348810368762, 0.007589845810865829, 0.01660447793944747, 0.006222792486869626, 0.01020896318212913, 0.021078597488430727, 0.008810932939965632, 0.012594624052647871, 0.008228349311427331, 0.008116920794569946, 0.008029391110574238, 0.009708059365914457, 0.00983165348860426, 0.0070840822023697375, 0.009211358513398311, 0.00900898775707512, 0.006242904231900152, 0.009663266961365661, 0.00596547521210829, 0.011154521276049443, 0.00862622170095271, 0.021562311878364025, 0.025293886560763937, 0.021408400598219076, 0.010878270742275464, 0.03904514855537512, 0.08181224392145094]
2004-07-05,1009689.4556375198,[CMG.TO, PSI.TO, ACD.TO, GDL.TO, BR.TO, CGY.TO, WJX.TO, ENGH.TO, PEY.TO, CTC.TO, MRD.TO, MEQ.TO, VET.TO, MFC.TO, CCA.TO, SU.TO, POW.TO, RET.TO, CGO.TO, CIGI.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, ENB.TO, AQN.TO, T.TO, SCI, L, NVO, PNR, WAT, OXY, MON, KYO, BAM, RENX, BP, COP, DVA, INGR, SYK, PHI, KMB, CW, BAP, ITT, ADM, IEX, AON, AVY, SJM, VZ, SRE, SON, UN, NSC, UL, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
,,[0.011626813669241828, 0.006131134885267675, 0.01627677051461027, 0.020600799415406285, 0.017542040393302087, 0.009318599677937925, 0.011298508030506341, 0.014666263867491171, 0.00833877745431166, 0.020275955470739845, 0.012976063884822997, 0.02316026861464, 0.01758913079569451, 0.013067954916632103, 0.006014822809247571, 0.009119177415304705, 0.013776162369598943, 0.02023286475131492, 0.006181210202679954, 0.018460191488858337, 0.013361198510945398, 0.0452587005450433, 0.01794682733583311, 0.09418030340577462, 0.020528525752179918, 0.013355640493643692, 0.014965316911300085, 0.006870252368171994, 0.01071544390693831, 0.006528336623899985, 0.004812207837848853, 0.009091057820448865, 0.00888418379877971, 0.007704702561845622, 0.006686199190405893, 0.006824458300108964, 0.013351848115750428, 0.010551327233159965, 0.010125921766828737, 0.007622348810368762, 0.007589845810865829, 0.01660447793944747, 0.006222792486869626, 0.01020896318212913, 0.021078597488430727, 0.008810932939965632, 0.012594624052647871, 0.008228349311427331, 0.008116920794569946, 0.008029391110574238, 0.009708059365914457, 0.00983165348860426, 0.0070840822023697375, 0.009211358513398311, 0.00900898775707512, 0.006242904231900152, 0.009663266961365661, 0.00596547521210829, 0.011154521276049443, 0.00862622170095271, 0.021562311878364025, 0.025293886560763937, 0.021408400598219076, 0.010878270742275464, 0.03904514855537512, 0.08181224392145094]
2004-07-12,1007084.6164137649,[CMG.TO, PSI.TO, ACD.TO, GDL.TO, BR.TO, CGY.TO, WJX.TO, ENGH.TO, PEY.TO, CTC.TO, MRD.TO, MEQ.TO, VET.TO, MFC.TO, CCA.TO, SU.TO, POW.TO, RET.TO, CGO.TO, CIGI.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, ENB.TO, AQN.TO, T.TO, SCI, L, NVO, PNR, WAT, OXY, MON, KYO, BAM, RENX, BP, COP, DVA, INGR, SYK, PHI, KMB, CW, BAP, ITT, ADM, IEX, AON, AVY, SJM, VZ, SRE, SON, UN, NSC, UL, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
,,[0.011626813669241828, 0.006131134885267675, 0.01627677051461027, 0.020600799415406285, 0.017542040393302087, 0.009318599677937925, 0.011298508030506341, 0.014666263867491171, 0.00833877745431166, 0.020275955470739845, 0.012976063884822997, 0.02316026861464, 0.01758913079569451, 0.013067954916632103, 0.006014822809247571, 0.009119177415304705, 0.013776162369598943, 0.02023286475131492, 0.006181210202679954, 0.018460191488858337, 0.013361198510945398, 0.0452587005450433, 0.01794682733583311, 0.09418030340577462, 0.020528525752179918, 0.013355640493643692, 0.014965316911300085, 0.006870252368171994, 0.01071544390693831, 0.006528336623899985, 0.004812207837848853, 0.009091057820448865, 0.00888418379877971, 0.007704702561845622, 0.006686199190405893, 0.006824458300108964, 0.013351848115750428, 0.010551327233159965, 0.010125921766828737, 0.007622348810368762, 0.007589845810865829, 0.01660447793944747, 0.006222792486869626, 0.01020896318212913, 0.021078597488430727, 0.008810932939965632, 0.012594624052647871, 0.008228349311427331, 0.008116920794569946, 0.008029391110574238, 0.009708059365914457, 0.00983165348860426, 0.0070840822023697375, 0.009211358513398311, 0.00900898775707512, 0.006242904231900152, 0.009663266961365661, 0.00596547521210829, 0.011154521276049443, 0.00862622170095271, 0.021562311878364025, 0.025293886560763937, 0.021408400598219076, 0.010878270742275464, 0.03904514855537512, 0.08181224392145094]
2004-07-19,1005494.6701744181,[CMG.TO, PSI.TO, ACD.TO, GDL.TO, BR.TO, CGY.TO, WJX.TO, ENGH.TO, PEY.TO, CTC.TO, MRD.TO, MEQ.TO, VET.TO, MFC.TO, CCA.TO, SU.TO, POW.TO, RET.TO, CGO.TO, CIGI.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, ENB.TO, AQN.TO, T.TO, SCI, L, NVO, PNR, WAT, OXY, MON, KYO, BAM, RENX, BP, COP, DVA, INGR, SYK, PHI, KMB, CW, BAP, ITT, ADM, IEX, AON, AVY, SJM, VZ, SRE, SON, UN, NSC, UL, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
,,[0.011626813669241828, 0.006131134885267675, 0.01627677051461027, 0.020600799415406285, 0.017542040393302087, 0.009318599677937925, 0.011298508030506341, 0.014666263867491171, 0.00833877745431166, 0.020275955470739845, 0.012976063884822997, 0.02316026861464, 0.01758913079569451, 0.013067954916632103, 0.006014822809247571, 0.009119177415304705, 0.013776162369598943, 0.02023286475131492, 0.006181210202679954, 0.018460191488858337, 0.013361198510945398, 0.0452587005450433, 0.01794682733583311, 0.09418030340577462, 0.020528525752179918, 0.013355640493643692, 0.014965316911300085, 0.006870252368171994, 0.01071544390693831, 0.006528336623899985, 0.004812207837848853, 0.009091057820448865, 0.00888418379877971, 0.007704702561845622, 0.006686199190405893, 0.006824458300108964, 0.013351848115750428, 0.010551327233159965, 0.010125921766828737, 0.007622348810368762, 0.007589845810865829, 0.01660447793944747, 0.006222792486869626, 0.01020896318212913, 0.021078597488430727, 0.008810932939965632, 0.012594624052647871, 0.008228349311427331, 0.008116920794569946, 0.008029391110574238, 0.009708059365914457, 0.00983165348860426, 0.0070840822023697375, 0.009211358513398311, 0.00900898775707512, 0.006242904231900152, 0.009663266961365661, 0.00596547521210829, 0.011154521276049443, 0.00862622170095271, 0.021562311878364025, 0.025293886560763937, 0.021408400598219076, 0.010878270742275464, 0.03904514855537512, 0.08181224392145094]
2004-07-26,1010846.1024515369,[CMG.TO, PSI.TO, ACD.TO, GDL.TO, BR.TO, CGY.TO, WJX.TO, ENGH.TO, PEY.TO, CTC.TO, MRD.TO, MEQ.TO, VET.TO, MFC.TO, CCA.TO, SU.TO, POW.TO, RET.TO, CGO.TO, CIGI.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, ENB.TO, AQN.TO, T.TO, SCI, L, NVO, PNR, WAT, OXY, MON, KYO, BAM, RENX, BP, COP, DVA, INGR, SYK, PHI, KMB, CW, BAP, ITT, ADM, IEX, AON, AVY, SJM, VZ, SRE, SON, UN, NSC, UL, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
,,[0.011626813669241828, 0.006131134885267675, 0.01627677051461027, 0.020600799415406285, 0.017542040393302087, 0.009318599677937925, 0.011298508030506341, 0.014666263867491171, 0.00833877745431166, 0.020275955470739845, 0.012976063884822997, 0.02316026861464, 0.01758913079569451, 0.013067954916632103, 0.006014822809247571, 0.009119177415304705, 0.013776162369598943, 0.02023286475131492, 0.006181210202679954, 0.018460191488858337, 0.013361198510945398, 0.0452587005450433, 0.01794682733583311, 0.09418030340577462, 0.020528525752179918, 0.013355640493643692, 0.014965316911300085, 0.006870252368171994, 0.01071544390693831, 0.006528336623899985, 0.004812207837848853, 0.009091057820448865, 0.00888418379877971, 0.007704702561845622, 0.006686199190405893, 0.006824458300108964, 0.013351848115750428, 0.010551327233159965, 0.010125921766828737, 0.007622348810368762, 0.007589845810865829, 0.01660447793944747, 0.006222792486869626, 0.01020896318212913, 0.021078597488430727, 0.008810932939965632, 0.012594624052647871, 0.008228349311427331, 0.008116920794569946, 0.008029391110574238, 0.009708059365914457, 0.00983165348860426, 0.0070840822023697375, 0.009211358513398311, 0.00900898775707512, 0.006242904231900152, 0.009663266961365661, 0.00596547521210829, 0.011154521276049443, 0.00862622170095271, 0.021562311878364025, 0.025293886560763937, 0.021408400598219076, 0.010878270742275464, 0.03904514855537512, 0.08181224392145094]
2004-08-02,1006263.8358563383,[CMG.TO, PSI.TO, ACD.TO, GDL.TO, BR.TO, CGY.TO, WJX.TO, ENGH.TO, PEY.TO, CTC.TO, MRD.TO, MEQ.TO, VET.TO, MFC.TO, CCA.TO, SU.TO, POW.TO, RET.TO, CGO.TO, CIGI.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, ENB.TO, AQN.TO, T.TO, SCI, L, NVO, PNR, WAT, OXY, MON, KYO, BAM, RENX, BP, COP, DVA, INGR, SYK, PHI, KMB, CW, BAP, ITT, ADM, IEX, AON, AVY, SJM, VZ, SRE, SON, UN, NSC, UL, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
